column,missing_count,missing_pct,dataset
referee_id,26,78.79,matches
referee_name,26,78.79,matches
away_score,0,0.0,matches
away_team_id,0,0.0,matches
away_team_name,0,0.0,matches
competition_id,0,0.0,matches
competition_name,0,0.0,matches
competition_stage_id,0,0.0,matches
competition_stage_name,0,0.0,matches
home_score,0,0.0,matches
home_team_id,0,0.0,matches
home_team_name,0,0.0,matches
kick_off,0,0.0,matches
match_date,0,0.0,matches
match_id,0,0.0,matches
season,0,0.0,matches
stadium_id,0,0.0,matches
stadium_name,0,0.0,matches
position,107,22.48,players
player_nickname,79,16.6,players
country,0,0.0,players
jersey_number,0,0.0,players
player_id,0,0.0,players
player_name,0,0.0,players
season,0,0.0,players
team_id,0,0.0,players
team_name,0,0.0,players
card_name,129022,99.97,events
shot_outcome_name,128306,99.42,events
pass_recipient_id,93338,72.32,events
pass_recipient_name,93338,72.32,events
duration,35718,27.68,events
location_x,764,0.59,events
location_y,764,0.59,events
player_id,424,0.33,events
player_name,424,0.33,events
position_id,424,0.33,events
position_name,424,0.33,events
event_id,0,0.0,events
event_type_id,0,0.0,events
event_type_name,0,0.0,events
index,0,0.0,events
match_id,0,0.0,events
minute,0,0.0,events
period,0,0.0,events
play_pattern_id,0,0.0,events
play_pattern_name,0,0.0,events
possession,0,0.0,events
possession_team_id,0,0.0,events
possession_team_name,0,0.0,events
season,0,0.0,events
second,0,0.0,events
team_id,0,0.0,events
team_name,0,0.0,events
timestamp,0,0.0,events
