dataset,column,count,mean,std,min,median,max
matches,match_id,33.0,303574.818,107.242,303377.0,303596.0,303731.0
matches,competition_id,33.0,11.0,0.0,11.0,11.0,11.0
matches,home_team_id,33.0,289.727,229.089,205.0,217.0,1049.0
matches,away_team_id,33.0,296.121,229.762,205.0,217.0,1049.0
matches,home_score,33.0,1.848,1.523,0.0,2.0,5.0
matches,away_score,33.0,1.273,1.353,0.0,1.0,5.0
matches,stadium_id,33.0,891.424,1441.803,342.0,342.0,5043.0
matches,referee_id,7.0,185.286,11.427,180.0,180.0,211.0
matches,competition_stage_id,33.0,1.0,0.0,1.0,1.0,1.0
players,player_id,476.0,14229.662,10814.89,2948.0,6958.5,41733.0
players,jersey_number,476.0,15.561,9.384,1.0,15.0,43.0
players,team_id,476.0,348.172,279.982,205.0,216.0,1049.0
events,match_id,129058.0,303574.507,105.014,303377.0,303596.0,303731.0
events,index,129058.0,1963.75,1142.612,1.0,1956.0,4656.0
events,period,129058.0,1.49,0.5,1.0,1.0,2.0
events,minute,129058.0,44.504,26.92,0.0,45.0,97.0
events,second,129058.0,29.425,17.371,0.0,29.0,59.0
events,possession,129058.0,85.488,51.787,1.0,84.0,224.0
events,possession_team_id,129058.0,265.692,184.051,205.0,217.0,1049.0
events,team_id,129058.0,272.531,195.971,205.0,217.0,1049.0
events,player_id,128634.0,9602.748,7093.459,2948.0,6589.0,41125.0
events,position_id,128634.0,10.79,6.996,0.0,10.0,24.0
events,event_type_id,129058.0,33.427,11.335,2.0,42.0,43.0
events,play_pattern_id,129058.0,2.876,2.263,1.0,3.0,9.0
events,location_x,128294.0,59.644,28.122,0.1,61.7,120.0
events,location_y,128294.0,39.961,22.422,0.1,40.0,80.5
events,pass_recipient_id,35720.0,9301.242,6883.21,2948.0,6379.0,41125.0
events,duration,93340.0,1.257,1.256,0.0,1.052,88.896
