column,missing_count,missing_pct,dataset
card_name,129022,99.97,events
shot_outcome_name,128306,99.42,events
pass_recipient_id,93338,72.32,events
pass_recipient_name,93338,72.32,events
duration,35718,27.68,events
location_x,764,0.59,events
location_y,764,0.59,events
player_id,424,0.33,events
player_name,424,0.33,events
position_id,424,0.33,events
position_name,424,0.33,events
event_id,0,0.0,events
event_type_id,0,0.0,events
event_type_name,0,0.0,events
index,0,0.0,events
match_id,0,0.0,events
minute,0,0.0,events
period,0,0.0,events
play_pattern_id,0,0.0,events
play_pattern_name,0,0.0,events
possession,0,0.0,events
possession_team_id,0,0.0,events
possession_team_name,0,0.0,events
season,0,0.0,events
second,0,0.0,events
team_id,0,0.0,events
team_name,0,0.0,events
timestamp,0,0.0,events
